prop_name,prop_proven,time,num_lemmas_attempted,num_lemmas,num_raw_eqs,num_evals,num_proved_lemmas,num_unproved_lemmas,proved_lemmas,unproved_lemmas,prop
prop_49,False,15.194076,17,9,179,28233,9,0,"['m<=m == True', 'm<=S m == True', 'S m<=m == False', 'm==n == n==m', 'm==m == True', 'm==S m == False', 'elem m (insert m ms) == True', 'elem (S m) (insert m ms) == elem (S m) ms', 'insert Z (isort ms) == isort (insert Z ms)']",[],elem x (isort y) == True => elem x y == True
prop_5,True,0.662173,7,5,234,41271,5,0,"['length (rev xs) == length xs', 'length (xs++ys) == length (ys++xs)', 'rev xs++rev ys == rev (ys++xs)', '(xs++ys)++zs == xs++(ys++zs)', 'xs++[] == xs']",[],length (rev x) == length x
prop_50,False,31.929712,21,9,425,93148,9,0,"['m<=m == True', 'm<=S m == True', 'S m<=m == False', 'm==n == n==m', 'm==m == True', 'm==S m == False', 'count m (insert m ms) == S (count m ms)', 'count (S m) (insert m ms) == count (S m) ms', 'insert Z (isort ms) == isort (insert Z ms)']",[],count x (isort y) == count x y
prop_6,True,2.637879,10,8,440,72257,8,0,"['length xs+length ys == length (xs++ys)', 'length (rev xs) == length xs', 'length (xs++ys) == length (ys++xs)', 'rev xs++rev ys == rev (ys++xs)', '(xs++ys)++zs == xs++(ys++zs)', 'xs++[] == xs', 'm+(n+o) == n+(m+o)', 'm+n == n+m']",[],length (rev (x++y)) == length x+length y
prop_7,True,2.746257,7,4,385,65080,4,0,"['length xs+length ys == length (qrev xs ys)', 'qrev (qrev xs ys) [] == qrev ys xs', 'm+(n+o) == n+(m+o)', 'm+n == n+m']",[],length (qrev x y) == length x+length y
prop_75,True,2.581898,9,7,1071,176245,7,0,"['qrev xs [] == rev xs', 'qrev xs ys++zs == qrev xs (ys++zs)', 'qrev (qrev xs ys) zs == qrev ys (xs++zs)', 'qrev (qrev xs ys) [] == qrev ys xs', 'rev xs++rev ys == rev (ys++xs)', '(xs++ys)++zs == xs++(ys++zs)', 'xs++[] == xs']",[],rev x++y == qrev x y
prop_76,False,6.534654,6,5,443,83009,5,0,"['xs++[] == xs', '(xs++ys)++zs == xs++(ys++zs)', 'rev xs++rev ys == rev (ys++xs)', 'qrevflat xss xs++ys == qrevflat xss (xs++ys)', 'rev (rev xs) == xs']",[],revflat x++y == qrevflat x y
prop_77,True,3.716328,9,7,1071,177186,7,0,"['qrev xs [] == rev xs', 'qrev xs ys++zs == qrev xs (ys++zs)', 'qrev (qrev xs ys) zs == qrev ys (xs++zs)', 'qrev (qrev xs ys) [] == qrev ys xs', 'rev xs++rev ys == rev (ys++xs)', '(xs++ys)++zs == xs++(ys++zs)', 'xs++[] == xs']",[],rev (qrev x y) == rev y++x
prop_78,True,2.485603,9,7,1071,174624,7,0,"['qrev xs [] == rev xs', 'qrev xs ys++zs == qrev xs (ys++zs)', 'qrev (qrev xs ys) zs == qrev ys (xs++zs)', 'qrev (qrev xs ys) [] == qrev ys xs', 'rev xs++rev ys == rev (ys++xs)', '(xs++ys)++zs == xs++(ys++zs)', 'xs++[] == xs']",[],rev (qrev x (rev y)) == y++x
prop_79,True,1.483583,5,3,215,37718,3,0,"['rev xs++rev ys == rev (ys++xs)', '(xs++ys)++zs == xs++(ys++zs)', 'xs++[] == xs']",[],rev (rev x++y) == rev y++x
prop_8,True,0.14783,1,0,107,16703,0,0,[],[],drop x (drop y z) == drop y (drop x z)
prop_80,True,1.524701,5,3,215,38061,3,0,"['rev xs++rev ys == rev (ys++xs)', '(xs++ys)++zs == xs++(ys++zs)', 'xs++[] == xs']",[],rev (rev x++rev y) == y++x
prop_81,True,5.443801,9,7,1071,180574,7,0,"['qrev xs [] == rev xs', 'qrev xs ys++zs == qrev xs (ys++zs)', 'qrev (qrev xs ys) zs == qrev ys (xs++zs)', 'qrev (qrev xs ys) [] == qrev ys xs', 'rev xs++rev ys == rev (ys++xs)', '(xs++ys)++zs == xs++(ys++zs)', 'xs++[] == xs']",[],qrev (qrev x y) [] == rev y++x
prop_82,True,2.497587,9,7,1071,175036,7,0,"['qrev xs [] == rev xs', 'qrev xs ys++zs == qrev xs (ys++zs)', 'qrev (qrev xs ys) zs == qrev ys (xs++zs)', 'qrev (qrev xs ys) [] == qrev ys xs', 'rev xs++rev ys == rev (ys++xs)', '(xs++ys)++zs == xs++(ys++zs)', 'xs++[] == xs']",[],qrev (qrev x (rev y)) [] == y++x
prop_83,True,4.004197,12,7,385,63761,7,0,"['rotate (length xs) (rotate m xs) == rotate m xs', 'rotate (length xs) (xs++ys) == ys++xs', 'rotate m (x:[]) == x:[]', 'rotate (S m) (rotate n xs) == rotate (S n) (rotate m xs)', 'length (xs++ys) == length (ys++xs)', '(xs++ys)++zs == xs++(ys++zs)', 'xs++[] == xs']",[],rotate (length x) (x++y) == y++x
prop_84,False,,0,,,,,,,,
prop_85,False,,0,,37667,5734008,,,,,
prop_86,False,,0,,,,,,,,
prop_9,True,1.332227,2,1,107,17009,1,0,['drop m (drop n xs) == drop n (drop m xs)'],[],drop w (drop x (drop y z)) == drop y (drop x (drop w z))
